Nome,CPF,Telefone,Endereço,Data de Nascimento,E-mail,Data do diagnóstico,Comorbidade
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
Carlos Alberto,552.273.555-21,Rua de São Nunca 1777 Jurassic Park - AC,10/05/1820,fulano@email.com,10/05/2020,Nenhuma
